radius_fraction,radius_cm,temperature_k,density_g_cm3,hydrogen_fraction,metal_fraction,opacity_cm2_g,luminosity_erg_s
6.0866450600e-04,4.2361699000e+07,1.5720264300e+07,1.5321573100e+02,3.3533995800e-01,2.1045910500e-02,1.2692554200e+00,8.4575406000e+26
6.3247689100e-04,4.4018988200e+07,1.5720253800e+07,1.5321536900e+02,3.3534092600e-01,2.1046015200e-02,1.2692592200e+00,9.4906551800e+26
6.5722092700e-04,4.5741118200e+07,1.5720242500e+07,1.5321497800e+02,3.3534197300e-01,2.1046103900e-02,1.2692627000e+00,1.0649826300e+27
6.8293306700e-04,4.7530626100e+07,1.5720230200e+07,1.5321455600e+02,3.3534310400e-01,2.1046176400e-02,1.2692658500e+00,1.1950434600e+27
7.0965118900e-04,4.9390148100e+07,1.5720217000e+07,1.5321410000e+02,3.3534432700e-01,2.1046232700e-02,1.2692686700e+00,1.3409737100e+27
7.3741465200e-04,5.1322423500e+07,1.5720202700e+07,1.5321360800e+02,3.3534564700e-01,2.1046273100e-02,1.2692711800e+00,1.5047096500e+27
7.6626435900e-04,5.3330299100e+07,1.5720187300e+07,1.5321307700e+02,3.3534707400e-01,2.1046298500e-02,1.2692734100e+00,1.6884237700e+27
7.9624281100e-04,5.5416732900e+07,1.5720170700e+07,1.5321250300e+02,3.3534861400e-01,2.1046309900e-02,1.2692754100e+00,1.8945536200e+27
8.2739417500e-04,5.7584798700e+07,1.5720152700e+07,1.5321188300e+02,3.3535027700e-01,2.1046309300e-02,1.2692772300e+00,2.1258341600e+27
8.5976434500e-04,5.9837690700e+07,1.5720133300e+07,1.5321121400e+02,3.3535207200e-01,2.1046299100e-02,1.2692789400e+00,2.3853340300e+27
8.9340101400e-04,6.2178728200e+07,1.5720112300e+07,1.5321049200e+02,3.3535400800e-01,2.1046284800e-02,1.2692807000e+00,2.6764962300e+27
9.2835373900e-04,6.4611360300e+07,1.5720089700e+07,1.5320971200e+02,3.3535609500e-01,2.1046274100e-02,1.2692827300e+00,3.0031838600e+27
9.6467402000e-04,6.7139171300e+07,1.5720065300e+07,1.5320887100e+02,3.3535834900e-01,2.1046267900e-02,1.2692850600e+00,3.3697313100e+27
1.0024153700e-03,6.9765885600e+07,1.5720038900e+07,1.5320796200e+02,3.3536078600e-01,2.1046263800e-02,1.2692876400e+00,3.7810017800e+27
1.0416334100e-03,7.2495373800e+07,1.5720010400e+07,1.5320698100e+02,3.3536341800e-01,2.1046259400e-02,1.2692904300e+00,4.2424517800e+27
1.0823859100e-03,7.5331657600e+07,1.5719979600e+07,1.5320592100e+02,3.3536625900e-01,2.1046254700e-02,1.2692934400e+00,4.7602034800e+27
1.1247329400e-03,7.8278916600e+07,1.5719946400e+07,1.5320477600e+02,3.3536932800e-01,2.1046249400e-02,1.2692966900e+00,5.3411259600e+27
1.1687368900e-03,8.1341493900e+07,1.5719910500e+07,1.5320354100e+02,3.3537264100e-01,2.1046243500e-02,1.2693001900e+00,5.9929262500e+27
1.2144626100e-03,8.4523902700e+07,1.5719871800e+07,1.5320220700e+02,3.3537621800e-01,2.1046237100e-02,1.2693039800e+00,6.7242516100e+27
1.2619774900e-03,8.7830833000e+07,1.5719829900e+07,1.5320076600e+02,3.3538008100e-01,2.1046230200e-02,1.2693080600e+00,7.5448041700e+27
1.3113515600e-03,9.1267158600e+07,1.5719784800e+07,1.5319921000e+02,3.3538425200e-01,2.1046222700e-02,1.2693124700e+00,8.4654696000e+27
1.3626575800e-03,9.4837944000e+07,1.5719736000e+07,1.5319753100e+02,3.3538875500e-01,2.1046214700e-02,1.2693172300e+00,9.4984614800e+27
1.4159711800e-03,9.8548452500e+07,1.5719683300e+07,1.5319571700e+02,3.3539361800e-01,2.1046206100e-02,1.2693223700e+00,1.0657483200e+28
1.4713709500e-03,1.0240415300e+08,1.5719626500e+07,1.5319375900e+02,3.3539886900e-01,2.1046196700e-02,1.2693279300e+00,1.1957909800e+28
1.5289385500e-03,1.0641073000e+08,1.5719565100e+07,1.5319164500e+02,3.3540453800e-01,2.1046186600e-02,1.2693339200e+00,1.3416991500e+28
1.5887588400e-03,1.1057409000e+08,1.5719498800e+07,1.5318936200e+02,3.3541066000e-01,2.1046175700e-02,1.2693404000e+00,1.5054082900e+28
1.6509200200e-03,1.1490037000e+08,1.5719427200e+07,1.5318689700e+02,3.3541727000e-01,2.1046163900e-02,1.2693473900e+00,1.6890899000e+28
1.7155137400e-03,1.1939595000e+08,1.5719349900e+07,1.5318423600e+02,3.3542440700e-01,2.1046151200e-02,1.2693549400e+00,1.8951803500e+28
